,O*NET職業代碼,職業名稱,任務摘要,語意相似度,自動化風險分數
84,11-1011,Chief Sustainability Officers,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",0.16,0.015
85,11-1011,Chief Sustainability Officers,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",0.16,0.015
86,11-1011,Chief Sustainability Officers,Develop methodologies to assess the viability or success of sustainability initiatives.,0.115,0.015
87,11-1011,Chief Sustainability Officers,Develop methodologies to assess the viability or success of sustainability initiatives.,0.115,0.015
88,11-1011,Chief Sustainability Officers,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",0.197,0.015
89,11-1011,Chief Sustainability Officers,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",0.197,0.015
90,11-1011,Chief Sustainability Officers,Write and distribute financial or environmental impact reports.,-0.061,0.015
91,11-1011,Chief Sustainability Officers,Write and distribute financial or environmental impact reports.,-0.061,0.015
92,11-1011,Chief Sustainability Officers,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",-0.027,0.015
93,11-1011,Chief Sustainability Officers,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",-0.027,0.015
94,11-1011,Chief Sustainability Officers,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",0.116,0.015
95,11-1011,Chief Sustainability Officers,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",0.116,0.015
96,11-1011,Chief Sustainability Officers,Conduct risk assessments related to sustainability and the environment.,0.03,0.015
97,11-1011,Chief Sustainability Officers,Conduct risk assessments related to sustainability and the environment.,0.03,0.015
98,11-1021,General and Operations Managers,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",0.091,0.16
99,11-1021,General and Operations Managers,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",0.047,0.16
100,11-1021,General and Operations Managers,Direct administrative activities directly related to making products or providing services.,0.038,0.16
101,11-1021,General and Operations Managers,Prepare staff work schedules and assign specific duties.,0.109,0.16
102,11-1021,General and Operations Managers,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.064,0.16
103,11-1021,General and Operations Managers,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",0.083,0.16
104,11-1021,General and Operations Managers,"Perform personnel functions, such as selection, training, or evaluation.",0.079,0.16
105,11-1021,General and Operations Managers,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",0.104,0.16
106,11-1021,General and Operations Managers,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,0.115,0.16
107,11-1021,General and Operations Managers,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",0.229,0.16
108,11-1021,General and Operations Managers,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",-0.068,0.16
109,11-1021,General and Operations Managers,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",0.074,0.16
110,11-1021,General and Operations Managers,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",0.012,0.16
111,11-1021,General and Operations Managers,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",-0.008,0.16
112,11-1021,General and Operations Managers,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",0.218,0.16
113,11-1021,General and Operations Managers,Plan store layouts or design displays.,0.112,0.16
114,11-1021,General and Operations Managers,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",0.046,0.16
115,11-2011,Advertising and Promotions Managers,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",0.119,0.039
116,11-2011,Advertising and Promotions Managers,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",0.073,0.039
117,11-2011,Advertising and Promotions Managers,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",-0.008,0.039
118,11-2011,Advertising and Promotions Managers,Coordinate with the media to disseminate advertising.,-0.1,0.039
119,11-2011,Advertising and Promotions Managers,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",0.055,0.039
120,11-2011,Advertising and Promotions Managers,Plan and execute advertising policies and strategies for organizations.,0.073,0.039
121,11-2011,Advertising and Promotions Managers,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",-0.007,0.039
122,11-2011,Advertising and Promotions Managers,Prepare budgets and submit estimates for program costs as part of campaign plan development.,0.018,0.039
123,11-2011,Advertising and Promotions Managers,Contact organizations to explain services and facilities offered.,0.001,0.039
124,11-2011,Advertising and Promotions Managers,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,-0.015,0.039
125,11-2011,Advertising and Promotions Managers,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",-0.001,0.039
126,11-2011,Advertising and Promotions Managers,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",0.024,0.039
127,11-2011,Advertising and Promotions Managers,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",0.041,0.039
128,11-2011,Advertising and Promotions Managers,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",0.109,0.039
129,11-2011,Advertising and Promotions Managers,Prepare and negotiate advertising and sales contracts.,-0.028,0.039
130,11-2011,Advertising and Promotions Managers,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,0.055,0.039
131,11-2011,Advertising and Promotions Managers,Train and direct workers engaged in developing and producing advertisements.,0.067,0.039
132,11-2011,Advertising and Promotions Managers,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",0.119,0.039
133,11-2011,Advertising and Promotions Managers,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,0.025,0.039
134,11-2011,Advertising and Promotions Managers,Represent company at trade association meetings to promote products.,-0.117,0.039
135,11-2011,Advertising and Promotions Managers,Direct and coordinate product research and development.,0.067,0.039
136,11-2011,Advertising and Promotions Managers,Analyze marketing or sales trends to forecast future conditions.,-0.065,0.039
137,11-2011,Advertising and Promotions Managers,Analyze the effectiveness of marketing tactics or channels.,-0.012,0.039
138,11-2011,Advertising and Promotions Managers,"Attend or participate in conferences, community events, and promotional events related to products or technologies.",-0.055,0.039
139,11-2011,Advertising and Promotions Managers,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",-0.026,0.039
140,11-2011,Advertising and Promotions Managers,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.",0.115,0.039
141,11-2011,Advertising and Promotions Managers,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.",-0.025,0.039
142,11-2011,Advertising and Promotions Managers,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.",0.015,0.039
143,11-2011,Advertising and Promotions Managers,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",0.127,0.039
144,11-2011,Advertising and Promotions Managers,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",0.016,0.039
145,11-2021,Marketing Managers,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",0.034,0.014
146,11-2021,Marketing Managers,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",0.07,0.014
147,11-2021,Marketing Managers,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",0.096,0.014
148,11-2021,Marketing Managers,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",0.074,0.014
149,11-2021,Marketing Managers,Compile lists describing product or service offerings.,-0.03,0.014
150,11-2021,Marketing Managers,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",0.1,0.014
151,11-2021,Marketing Managers,"Consult with product development personnel on product specifications, such as design, color, or packaging.",0.07,0.014
152,11-2021,Marketing Managers,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",0.135,0.014
153,11-2021,Marketing Managers,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",0.011,0.014
154,11-2021,Marketing Managers,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",0.083,0.014
155,11-2021,Marketing Managers,"Initiate market research studies, or analyze their findings.",-0.016,0.014
156,11-2021,Marketing Managers,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",0.032,0.014
157,11-2021,Marketing Managers,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,-0.051,0.014
158,11-2021,Marketing Managers,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,-0.003,0.014
159,11-2021,Marketing Managers,Conduct economic or commercial surveys to identify potential markets for products or services.,-0.049,0.014
160,11-2021,Marketing Managers,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",0.102,0.014
161,11-2021,Marketing Managers,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",-0.044,0.014
162,11-2021,Marketing Managers,Select products or accessories to be displayed at trade or special production shows.,-0.11,0.014
163,11-2021,Marketing Managers,Develop business cases for environmental marketing strategies.,-0.014,0.014
164,11-2021,Marketing Managers,"Integrate environmental information into product or company marketing strategies, policies, or activities.",0.01,0.014
165,11-2022,Sales Managers,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",0.054,0.013
166,11-2022,Sales Managers,Resolve customer complaints regarding sales and service.,0.052,0.013
167,11-2022,Sales Managers,Review operational records and reports to project sales and determine profitability.,0.128,0.013
168,11-2022,Sales Managers,Oversee regional and local sales managers and their staffs.,0.012,0.013
169,11-2022,Sales Managers,Determine price schedules and discount rates.,0.007,0.013
170,11-2022,Sales Managers,Prepare budgets and approve budget expenditures.,-0.013,0.013
171,11-2022,Sales Managers,Monitor customer preferences to determine focus of sales efforts.,0.002,0.013
172,11-2022,Sales Managers,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",0.242,0.013
173,11-2022,Sales Managers,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",0.134,0.013
174,11-2022,Sales Managers,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",0.11,0.013
175,11-2022,Sales Managers,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0.167,0.013
176,11-2022,Sales Managers,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,0.137,0.013
177,11-2022,Sales Managers,Represent company at trade association meetings to promote products.,-0.117,0.013
178,11-2022,Sales Managers,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",-0.057,0.013
179,11-2022,Sales Managers,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",0.031,0.013
180,11-2022,Sales Managers,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,-0.112,0.013
181,11-2022,Sales Managers,Direct foreign sales and service outlets of an organization.,0.015,0.013
182,11-3021,Computer and Information Systems Managers,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",0.198,0.035
183,11-3021,Computer and Information Systems Managers,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",0.182,0.035
184,11-3021,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,0.131,0.035
185,11-3021,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",0.201,0.035
186,11-3021,Computer and Information Systems Managers,Provide users with technical support for computer problems.,0.078,0.035
187,11-3021,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",0.308,0.035
188,11-3021,Computer and Information Systems Managers,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",0.129,0.035
189,11-3021,Computer and Information Systems Managers,Stay abreast of advances in technology.,0.008,0.035
190,11-3021,Computer and Information Systems Managers,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",0.109,0.035
191,11-3021,Computer and Information Systems Managers,"Develop and interpret organizational goals, policies, and procedures.",0.103,0.035
192,11-3021,Computer and Information Systems Managers,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",0.109,0.035
193,11-3021,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,0.11,0.035
194,11-3021,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,0.137,0.035
195,11-3021,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,0.156,0.035
196,11-3021,Computer and Information Systems Managers,Control operational budget and expenditures.,0.117,0.035
197,11-3021,Computer and Information Systems Managers,Purchase necessary equipment.,-0.093,0.035
198,11-3021,Computer and Information Systems Managers,"Manage backup, security and user help systems.",0.282,0.035
199,11-3031,Financial Managers,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,0.112,0.069
200,11-3031,Financial Managers,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,0.112,0.069
201,11-3031,Financial Managers,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,0.112,0.069
202,11-3031,Financial Managers,Oversee the flow of cash or financial instruments.,-0.046,0.069
203,11-3031,Financial Managers,Oversee the flow of cash or financial instruments.,-0.046,0.069
204,11-3031,Financial Managers,Oversee the flow of cash or financial instruments.,-0.046,0.069
205,11-3031,Financial Managers,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",0.258,0.069
206,11-3031,Financial Managers,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",0.258,0.069
207,11-3031,Financial Managers,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",0.258,0.069
208,11-3031,Financial Managers,Recruit staff members.,0.025,0.069
209,11-3031,Financial Managers,Recruit staff members.,0.025,0.069
210,11-3031,Financial Managers,Recruit staff members.,0.025,0.069
211,11-3031,Financial Managers,Evaluate data pertaining to costs to plan budgets.,0.067,0.069
212,11-3031,Financial Managers,Evaluate data pertaining to costs to plan budgets.,0.067,0.069
213,11-3031,Financial Managers,Evaluate data pertaining to costs to plan budgets.,0.067,0.069
214,11-3031,Financial Managers,Oversee training programs.,-0.019,0.069
215,11-3031,Financial Managers,Oversee training programs.,-0.019,0.069
216,11-3031,Financial Managers,Oversee training programs.,-0.019,0.069
217,11-3031,Financial Managers,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.",0.223,0.069
218,11-3031,Financial Managers,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.",0.223,0.069
219,11-3031,Financial Managers,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.",0.223,0.069
220,11-3031,Financial Managers,Communicate with stockholders or other investors to provide information or to raise capital.,-0.047,0.069
221,11-3031,Financial Managers,Communicate with stockholders or other investors to provide information or to raise capital.,-0.047,0.069
222,11-3031,Financial Managers,Communicate with stockholders or other investors to provide information or to raise capital.,-0.047,0.069
223,11-3031,Financial Managers,Develop or analyze information to assess the current or future financial status of firms.,0.019,0.069
224,11-3031,Financial Managers,Develop or analyze information to assess the current or future financial status of firms.,0.019,0.069
225,11-3031,Financial Managers,Develop or analyze information to assess the current or future financial status of firms.,0.019,0.069
226,11-3031,Financial Managers,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",-0.03,0.069
227,11-3031,Financial Managers,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",-0.03,0.069
228,11-3031,Financial Managers,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",-0.03,0.069
229,11-3031,Financial Managers,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",-0.01,0.069
230,11-3031,Financial Managers,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",-0.01,0.069
231,11-3031,Financial Managers,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",-0.01,0.069
232,11-3031,Financial Managers,"Examine, evaluate, or process loan applications.",-0.013,0.069
233,11-3031,Financial Managers,"Examine, evaluate, or process loan applications.",-0.013,0.069
234,11-3031,Financial Managers,"Examine, evaluate, or process loan applications.",-0.013,0.069
235,11-3031,Financial Managers,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",0.195,0.069
236,11-3031,Financial Managers,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",0.195,0.069
237,11-3031,Financial Managers,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",0.195,0.069
238,11-3031,Financial Managers,Network within communities to find and attract new business.,-0.071,0.069
239,11-3031,Financial Managers,Network within communities to find and attract new business.,-0.071,0.069
240,11-3031,Financial Managers,Network within communities to find and attract new business.,-0.071,0.069
241,11-3031,Financial Managers,Prepare operational or risk reports for management analysis.,0.054,0.069
242,11-3031,Financial Managers,Prepare operational or risk reports for management analysis.,0.054,0.069
243,11-3031,Financial Managers,Prepare operational or risk reports for management analysis.,0.054,0.069
244,11-3031,Financial Managers,Review collection reports to determine the status of collections and the amounts of outstanding balances.,-0.0,0.069
245,11-3031,Financial Managers,Review collection reports to determine the status of collections and the amounts of outstanding balances.,-0.0,0.069
246,11-3031,Financial Managers,Review collection reports to determine the status of collections and the amounts of outstanding balances.,-0.0,0.069
247,11-3031,Financial Managers,Review reports of securities transactions or price lists to analyze market conditions.,-0.022,0.069
248,11-3031,Financial Managers,Review reports of securities transactions or price lists to analyze market conditions.,-0.022,0.069
249,11-3031,Financial Managers,Review reports of securities transactions or price lists to analyze market conditions.,-0.022,0.069
250,11-3031,Treasurers and Controllers,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,-0.015,0.069
