職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
TA【資訊系統分析師】,南山產物保險股份有限公司,1人,"系統分析師
、其他資訊專業人員
、軟體專案主管",待遇面議,不拘,大學,台北市中正區,6年,"1. 與需求單位溝通、協調需求並撰寫需求文件
2. 管理系統需求、系統開發及交付時程，協助資訊系統測試及上線"
I105 Python Web工程師(可遠端工作),台灣大哥大股份有限公司,1人,軟體工程師,"月薪36,000~60,000元",軟體工程系統開發、軟體程式設計,不拘,台北市大安區,不拘,"【為什麼要加入台灣大哥大 IT 攻城精英團隊】
1.我們有穩定的福利制度，也有新創公司般的工作挑戰
2.我們致力打造一起學習、正向鼓勵回饋的工作環境
3.我們有體貼的居家上班制度
4.我們不是傳統的電信公司!正加速往區域級科技電信集團目標大步邁進
5.我們能讓你從「攻城師」升級為「攻城精英」，這裡絕對是個讓你可以升級武器、切磋技能、激發潛能的難得機會
6.我們還有一位跨領域身經百戰、兼具感性與知性、熱愛分享，每週都請喝咖啡的超強 CIO 隊長！

【我們喜歡什麼樣的人】
1.具備團隊合作精神的 team player
2.優異的溝通及表達能力
3.開創性思考的能力
4.極端正面的工作態度、積極進取
5.具備優異的技術專案規劃、統籌與實作能力
6.對新興技術展現優異的理解能力及應用思維
工作不是人生的全部，但是一份精彩的工作會豐富成就你更好的人生
請給自己也給我們一個機會，加入我們一同持續精進IT專業技術，改寫自己的人生與改寫世界，讓我們一起變得更好，歡迎登艦！

【工作內容】
1. Python Web Application開發(Flask + jQuery單體架構 或 FastAPI + ReactJS前後端分離) 
2. 網路爬蟲程式開發
3. 無限可能的多元領域 : 科技新創服務 / 加值服務 / 通路營運 / 虛擬通路 / 企業創新服務

【必備技能】
1. Python Web開發能力(Flask or FastAPI尤佳，Django經驗也可)
2. 有開發前端經驗如jQuery或JS等經驗
3. 網路爬蟲程式開發

【加分條件】
1. ReactJS 經驗尤佳
2. GCP/ AWS / K8S 經驗尤佳
3. Java  Web Application開發經驗尤佳
4. 具備英文聽/說/讀/寫基本能力，有多益(TOEIC)聽讀550分以上尤佳


【薪資待遇】：月薪36,000元-60,000元，依績效另有豐厚年終獎金與員工紅利。"
Front-End Engineer 前端工程師 (Vue),鑫鼎鑽科技有限公司,1人,"軟體工程師
、前端工程師",待遇面議,軟體程式設計,專科,台北市南港區,2年,"我們正在尋找一位熟悉 Vue.js 的前端工程師，共同開發高效能、易於維護的前端應用，確保使用者有良好的操作體驗。你將與後端、UI/UX 設計師以及產品經理等團隊成員合作，打造現代化的 Web 應用程式，並優化前端效能與開發流程。

▍主要職責
－ 開發與維護 Web 應用，確保前端效能、使用者體驗及程式碼的可維護性。
－ 與後端工程師合作，串接 API，確保資料傳輸的穩定性。
－ 參與前端架構設計與優化，提升網站效能與載入速度。
－ 參與 CI/CD 自動化流程，提高開發效率。
－ 撰寫單元測試，確保程式碼品質。
－ 使用 Component-based 開發模式，建立可重複使用的 UI 元件。
－ 監控前端錯誤與使用者行為，協助優化使用者體驗。

▍必要條件
－2 年以上前端開發經驗，熟悉 Vue.js。
－熟悉 JavaScript (ES6+)，能編寫易於理解的程式碼。
－熟悉前端狀態管理工具（如 Vuex, Pinia）。
－了解 RESTful API，能夠與後端協同工作。
－熟悉前端測試框架（如 Jest, Vue Testing Library）。
－熟悉 CSS 模組化 (如 Tailwind CSS)。
－具備 Git 版本控制經驗。
－了解基本的 Web 安全性概念。

▍加分條件
－具備前端效能優化經驗。
－具備 PWA (Progressive Web App) 開發經驗。
－熟悉 Figma 等設計工具。
－了解 GA 等使用者行為分析工具。
－有 Docker 開發經驗。"
AI Computer Vision Engineer,洞見未來科技股份有限公司,1人,"演算法工程師
、軟體工程師",待遇面議,AI、深度學習、人工智慧,碩士,台北市松山區,2年,"本公司核心為AI技術解決方案，改變人們的生活品質，目前致力研發專注於智慧助聽技術與人工智慧視覺應用類別的產品。

工作內容：
1. 結合深度學習（DL）與傳統電腦視覺，研發影像強化、物件偵測、物件分割等相關技術，並實作於 Edge Device。
2. . 完成主管交辦事項。

【職務需求】
1. 具備人工智慧與電腦視覺開發經驗。
2. 熟悉 C/C++ （必要）。
3. 熟悉 OpenCV。
4. 至少擅長一項深度學習框架 （如：Pytorch、Tensorflow）。
5. 具 Git 版本控制知識。
6. 具獨立開發能力。
7. 具良好團隊合作能力，有意願與團隊夥伴分享技術知識。

【加分項目】
1. 具 Embedded System 系統整合經驗。
2. 有布署 AI 模型至嵌入式系統經驗。
3. 熟悉 AI 模型剪技、量化、蒸餾等。"
MIS工程師,新誼整合科技股份有限公司,1人,"系統工程師
、網路管理工程師
、資訊設備管制人員","月薪40,000~60,000元",不拘,專科,台北市內湖區,3年,"#工作內容
1.建置、管理與維護公司系統，內外部網路設定及管理 
2.機房維運/問題排除，資安設備、資料庫及伺服器設定及管理 
3.公司軟硬體設備安裝及維護，異常狀況處理 
4.提供使用者在網路與系統上技術問題諮詢、服務及異常處理 
5.配合各項專案導入、評估，提出建議、維護與控管 
6.執行資訊安全策略與措施，定期進行安全檢測與漏洞修補
7.跨部門溝通及協調、規劃與執行主管交辦事項

#技能要求
1. 熟Windows/LINUX環境、Vmware產品、Switch設備、Fortinet相關 產品 
2.有資安規劃經驗佳，具分析、執行、管理及技術整合應用經驗佳 
3.三年相關經驗，有相關認證者佳

#加分條件
能撰寫排程程式(shell script)佳 有相關證照(如CCNA、RHCE)尤佳 使用過Docker或其他Containter實務經驗

#個人特質
• 具備良好的問題分析與解決能力。
• 具備良好的溝通協調能力與團隊合作精神。
• 工作積極主動、細心負責、具備抗壓性。
• 對新技術抱持學習熱忱。"
Web Frontend Developer 特約網站前端工程師｜親子學技術中心,親子天下股份有限公司,1人,前端工程師,待遇面議,網頁軟體操作、網頁語法撰寫,大學,台北市中山區,3年,"【認識親子學】
親子學是親子天下於 2023 年成立的子公司，專為 0~12 歲孩童提供多元且全方位的數位學習產品，並隸屬於台灣知名媒體天下雜誌集團。我們的願景是成為「華人世界兒童首選的快樂自學平台」，透過寓教於樂的方式，提供孩子優質的數位內容與智能化的學習體驗，幫助孩子發展心理素質，並找到獨特的成長經驗。

親子學專注於兒童數位學習，透過數位產品提供有聲內容串流《親子天下有聲故事書》、影音內容串流《SeeMi 兒童閱聽專屬平台》等多種學習形式，並且不斷優化和擴展。產品的核心目標是啟發孩子的好奇心和學習熱情，如果你熱愛技術並渴望參與打造下一代孩子的創新學習方式，這就是你的舞台。

加入我們，你將成為我們核心技術團隊的一員，負責開發和優化核心產品的 Web app，為兒童帶來創新學習體驗的產品。你將不僅僅是開發者，也是產品創新者，協助打造這一世代孩子更豐富的學習體驗。邀請你透過技術與我們一起挑戰改變下一代的學習方式。

【工作職責】
1. 負責《SeeMi 兒童閱聽專屬平台》與《親子天下有聲故事書》的 Web App 開發與優化，確保APP的穩定性與功能與用戶體驗良好。
2. 與產品經理、設計師及後端開發團隊密切協作，實現產品需求。
3. 定期參與 Sprint 會議，優化團隊的開發流程與使用者的產品體驗。

【工作模式】
1. 以雙週/一個 Sprint為單位的開發週期。
2. Sprint 起始進行 planning meeting 與產品開發小組共同討論 sprint backlog、work items。
3. 每日站立會同步進度和碰上的困難以尋求夥伴支援。
4. Sprint 結束進行 retrospective meeting 持續改善團隊開發流程。
5. 在 Azure DevOps Services 上查看product backlog 待辦事項。
6. 功能修改完成發出 pull request 進行 code review 維持程式品質的同時讓彼此進步。
7. 使用自動 CI/CD 流程將程式佈署到 K8s 生產環境。
8. 公司推動混合辦公，通過適應期後，將提供最多兩天的彈性遠端工作。
9. 公司將配發 MacBook Pro方便工作者移動辦公。
10. 此職缺為約聘職缺。若工作表現良好，公司內部有其他正職職缺時可獲主管優先推薦。

※ 親子學 為 親子天下 百分百持股之子公司。"
Ogloba - Java 軟體工程師,金永立有限公司,1~3人,"軟體工程師
、Internet程式設計師
、系統分析師","月薪36,000~60,000元",不拘,專科,台中市西區,不拘,"有機會接觸以下工作項目:

1. 前端Java程式設計
2. 中間層Java程式設計(XML, REST Webservice..)
3. 後端Oracle資料庫程式(SQL, Store Procedure)撰寫
4. 使用過Java相關Framework (Spring、Springboot、MyBatis、...) 
5. 使用MVC 架構開發
6. 使用Version Control - Git"
(總管理處-資訊部) 軟體開發工程師,聯寶電子股份有限公司,1人,"軟體工程師
、資料庫管理人員",待遇面議,不拘,大學,新北市新店區,2年,"1. 獨立開發 Web 應用程式，從 需求分析、架構設計、功能開發 到 測試與維護，確保系
        統穩定與高效能。
2. 彙整需求端所提需求，並規劃開發時程，確保專案進度符合預期。
3. 使用 C# / .NET（ASP.NET Core / MVC） 進行 後端開發，設計並開發 RESTful API / 
        Web API。
4. 進行 前後端整合，確保數據流順暢並優化系統效能。
5. 操作並優化 SQL 資料庫（MS SQL、MySQL等），確保數據查詢與存取效能最佳化。
6. 具備前端開發能力，能夠使用 JavaScript / HTML5 / CSS3 進行 UI 開發與調整。
7. 使用 Git 版本控制 進行協作，並遵循開發流程與最佳實踐。
8. 撰寫 單元測試、整合測試，確保程式碼的品質與可維護性。
9. 需有 撰寫語法註解或工作日誌的習慣，確保團隊成員能快速理解開發內容與系統邏
        輯。
10. 參與 技術選型、系統架構設計，並撰寫技術文件。
11. 解決技術問題，提供高效且可擴展的解決方案。
12. 支援 線上系統錯誤排查、維護與優化，確保系統穩定運行。"
技術處-資安檢測實習生,安華聯網科技股份有限公司,2~3人,網路安全分析師,時薪200元,作業系統基本操作、電腦設備裝配、安裝與維護網路安全系統,高中,新北市新店區,不拘,"為培養大專院校學生的資安技術能力，提供大三升大四學生參加企業實習的機會，
安華聯網誠徵資安檢測工讀生，可以透過工讀的機會了解資安檢測的工作內容。
主要的工作內容包括以下：
(1) 蒐集國內外資安漏洞資訊
(2) 在資安工程師的指導下，執行自動化測試工作
(3) 測試資料整理與建檔
(4) 其他主管交辦工作內容

為確保能夠在工讀實習期間能夠學習到相關的工作經驗
希望應徵的朋友們，每週都可以挑出至少3天的時間到公司

In order to cultivate the information security technical ability of college students, provide opportunities for third-year and senior-year students to participate in enterprise internships,
Anhua Network is looking for work-study students in information security inspection, who can learn about the work content of information security inspection through the opportunity of work-study.

The main job responsibilities include the following:
(1) Collect information on domestic and foreign information security vulnerabilities.
(2) Under the guidance of information security engineers, perform automated testing work.
(3) Test data collation and filing.
(4) Other tasks assigned by the supervisor.

In order to ensure that relevant work experience can be learned during the work-study internship.
Those who wish to apply can choose at least 3 days a week to come to the company."
網路設備工程師-台中,易達通網路系統股份有限公司,1~2人,"網路管理工程師
、MIS／網管主管
、系統工程師","月薪33,000~50,000元",規劃與管理防火牆、網路規劃管理、網路設備設定安裝,專科,台中市南區,不拘,"1.具企業網路系統整合經驗
2.具CCNA網路證照優佳
3.需有操作過網路設備(IP網通設備 , 防火牆等)
4.需出勤至客戶端安裝。
5.歡迎對網路設備有興趣人員，有熱忱願意接受培訓的無經驗人員。"
台南半導體晶片製造PC、NB造機工程師（需至客戶端作業）,訊達電腦股份有限公司,1~2人,"產品售後技術服務
、電腦組裝／測試
、系統工程師","月薪30,000~35,000元",不拘,專科,台南市新市區,不拘,"職務內容：  
我們正在尋找一位細心負責、具備技術背景的裝機及交機工程師，主要負責企業客戶(如tsmc, 聯詠)PC或NB的作業系統安裝作業。此職位需要與客戶端緊密合作，確保符合客戶標準流程完成作業系統的安裝工作。  

主要工作職責：  
1. 依照客戶標準流程，在HP品牌PC或NB上安裝Windows作業系統，確保系統環境符合使用需求。  
2. 設備安裝與測試，確保所有必要的驅動程式、應用程式及設定均正確配置。  
3. 處理基本技術問題，確保造機過程順利，如有異常狀況需即時回報與處理。  
5. 維持良好客戶關係，確保提供專業且高品質的服務，提升客戶滿意度。

職位要求：  
** 具備基本IT技術背景，熟悉Windows作業系統的安裝與設定。  
** 具備PC或NB硬體與驅動程式安裝經驗，有相關工作經驗者尤佳。  
** 具備良好溝通能力與客戶服務精神，能與客戶及使用者進行有效溝通。  
** 具備基本故障排除能力，能針對安裝過程中可能發生的問題進行簡單診斷與解決。  
** 具備責任感與細心態度，確保裝機品質與交機準確性。  
** 能夠適應需外派至客戶端執行任務的工作模式。

加分條件：  
** 具備IT相關學歷或技術證照（如MCSA, CompTIA A+）者佳。  
** 曾有企業級IT服務經驗，熟悉大型企業IT環境者尤佳。  
** 具備基本網路設定與企業端帳戶管理概念者佳。  
 
福利與發展機會：  
** 具挑戰性的企業客戶專案，累積寶貴經驗  
** 提供專業培訓與進階技術學習機會  
** 具良好升遷與內部發展機會  

如果您對電腦裝機與企業IT服務有興趣，並希望在專業的環境中成長，我們誠摯邀請您加入我們的團隊！  

請投遞您的履歷，我們期待與您聯繫！"
前端工程師,集星資通股份有限公司,1人,"網路管理工程師
、系統工程師
、前端工程師","月薪50,000~80,000元",不拘,不拘,台北市內湖區,不拘,"1. 熟悉協作開發，進行 Scrum 模式進行開發討論 
2. 系統開發建置與部署 
3. 現有系統管理維運 
4. 規劃並整合系統架構 
5. 系統及技術相關文件維護"
AI研發工程師,區塊科技股份有限公司,1~2人,"軟體工程師
、全端工程師
、區塊鏈工程師","月薪50,000~75,000元",軟體工程系統開發、模組化系統設計,專科,台北市中山區,1年,"1.開發區塊鏈AI 應用
2.資料分析
3.AI 資料學習及預測
熟AI 應用理論"
PHP助理網站後端工程師(應屆可) - 台中,橘野數位設計有限公司,2~5人,"Internet程式設計師
、軟體工程師
、網頁設計師","月薪28,590~32,000元",軟體程式設計、網路程式設計,大學,台中市西屯區,不拘,"1、依版型設計需求，撰寫HTML、CSS。
2、RWD 版型製作。
3、Javascript、JQuery、PHP，有程式設計邏輯及基礎。
4、MySQL，會應用SQL語法。
5、有實作小作品或專題經驗，應徵請帶作品原始碼。
6、無相關經驗者限 資訊/資工/資管/電子/電機/自動控制等相關科系。
7、無前科記錄。

歡迎喜歡程式設計的您，加入我們的團隊，一起學習成長"
高雄分公司｜資訊助理,創力美股份有限公司,1~2人,"資訊助理
、其他資訊專業人員","月薪28,590~33,000元",不拘,專科,高雄市前鎮區,不拘,"您好！我們是創力美股份有限公司，是來自雲林的資訊行銷公司，
我們正在尋找高雄分公司的【資訊助理】能與工程師密切合作，
並能隨時保持資訊工作項目處在最佳狀態。


✦ 工作項目：

1. 前端電腦使用者操作問題排除。
2. 負責資訊相關固定資產建檔與維護，包含定期盤點等工作。
3. 協助資訊設備報修，確保辦公空間處於最佳狀態。
4. 協助撰寫技術文件、流程描繪及使用者操作手冊。
5. 針對客戶產品使用上問題，依問題難度提供解法或回饋給相關單位協助分析、處理客戶端問題。
6. 對客戶提出之問題加以歸納整理，並更新維護於技術支援文件內容中。
7. 其他資訊同仁協助事項及主管交辦事項。


✦ 加分項目：

1. 具備極強學習意願及責任心，勇於接受各項挑戰。
2. 抗壓性高，主動積極、善溝通、重視團隊分工。
3. 具備解決問題的獨立思考能力。
4. 熟悉任意一種程式語言。
5. 對於系統操作學習與服務有熱情。
6. 熟悉ESG、ISO 14064、ISO 14067尤佳！


✦ 此職務目前僅提供視訊面試，如有作品集請一同準備線上版。
✦ 注意本職缺非工程師助理，在工作崗位中極少用到工程師技能。"
資訊工程師,仲琦科技股份有限公司,1人,"資安工程師
、網路管理工程師
、資訊設備管制人員",待遇面議,不拘,大學,新竹市,3年,"1. 伺服器、網路及硬體設備維運與管理
2. ISO27001專案實施與工作執行
3. 其他主管交辦事項"
Unity程式設計師,宇萌數位科技股份有限公司,2~3人,"軟體工程師
、其他資訊專業人員
、電玩程式設計師","月薪30,000~45,000元",軟體工程系統開發,高中,台北市南港區,不拘,"宇萌創立以來一直致力於AR/VR/MR技術，我們開發的marq+AR平台擁有數百萬次用戶體驗，並且有豐富的AR應用與平台開發經驗。 

我們需要喜歡AR，身為程式設計師卻又有豐富想像力的你加入我們！如果你對Unity開發具有經驗與相關能力，對AR互動科技產業又有興趣，做事細心、喜歡挑戰自我，那麼這份工作可能適合你。

基本條件
1. 使用Unity3d開發工具一年以上經驗
2. 熟悉C#語言
3. 使用Unity3d跨平台程式開發

加分條件
1. 擴增實境(AR)應用與開發
2. 虛擬實境(VR)應用與開發
3. 體感互動應用與開發(XBOX Kinect, RealSense, Leap Motion)
4. Unity3D Plugin製作
5. 有FLASH AIR開發經驗

你的能力和在崗位所取得的成就將會決定你將來，全由你決定。"
Server BIOS工程師,永擎電子股份有限公司,不限,"BIOS工程師
、韌體工程師","月薪30,000~100,000元",BIOS程式研發、軟體工程系統開發,大學,台北市北投區,不拘,"從事Server主機板BIOS撰寫及修改工作。
1. 開發、維護以及改善主機板BIOS 程式。 
2. 導入主機板相關零件控制方法。
3. 負責BIOS程式偵錯與問題解決。 
4. 回覆客戶或相關部門BIOS技術問題。 
5. 協助FAE（field application engineer）解決問題。 
6. 與客戶溝通客製化需求、時程安排"
【RD】AR/VR 光學眼動系統檢測及校正研發工程師,見臻科技股份有限公司,1人,"機構工程師
、光學工程師
、軟體工程師",待遇面議,不拘,大學,新北市新店區,1年,"1. 前瞻演算法開發與驗證：深入研究並開發 AR/VR 眼動追蹤、光機、光學及相機影像品質的檢測演算法與驗證方法，確保系統性能達到卓越標準。
2. 創新校正系統設計與研發：負責 AR/VR 眼動、光機及光學系統的校正系統設計與研發，提升產品的精準度與穩定性。
3. 自動化檢測方案實踐：獨立開發 AR/VR 自動化檢測程式，提高檢測效率與一致性。
4. 機器手臂導入與應用：運用機器手臂進行相機自動化校正流程的設計、實施與優化，提升生產效率與良率。"
專案經理(台北),群豐資訊科技股份有限公司,1~2人,"系統分析師
、專案管理主管
、軟體專案管理師",待遇面議,專案時間╱進度控管、專案規劃執行╱範圍管理、專案溝通╱整合管理、協商談判能力,專科,台北市南港區,2年,"1.客戶需求分析、系統規劃、時程安排
2.了解客戶需求並能與客戶良好溝通
3.POS系統分析設計2年以上經驗及熟悉MS-SQL
4.需對進銷存或財務流程有基本概念"
K200-資深韌體設計工程師/主管,旺玖科技股份有限公司,1~2人,"軟體工程師
、韌體工程師",待遇面議,不拘,大學,新竹市,5年,"1. 具備USB firmware研發經驗
2. 熟悉 MCU (8051/ARM Cortex-M0) programming (使用 C 語言)
3. 具備下列周邊相關產品開發經驗者尤佳: SD card reader, I2C, SPI, UART"
【高雄】客服工程師_K07,辛耘企業股份有限公司,1人,"產品售後技術服務
、軟體工程師
、FAE工程師",待遇面議,電腦圖示辨認,大學,高雄市前鎮區,3年,"1.設備維護安裝及客戶異常處理
2.可配合on call備勤(月/7天)
3.英文(聽:略懂、說:略懂、讀:略懂、寫:略懂)"
區塊鏈軟體研發工程師,區塊科技股份有限公司,1~2人,"軟體工程師
、全端工程師
、區塊鏈工程師","月薪54,977~75,000元",軟體程式設計、模組化系統設計,專科,台北市中山區,不拘,"1.開發區塊鏈API及模組工具
2.區塊鏈節點資料分析
3.區塊鏈智能合約及金流分析

熟Linux 或 區塊鏈程式相關開發經驗者為佳 "
機器學習工程師 ML Engineer,果實夥伴股份有限公司,1人,"演算法工程師
、營運管理師／系統整合／ERP專案師
、AI工程師",待遇面議,系統整合分析、軟體程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,大學,台北市內湖區,2年,"OneAD為全台最大影音廣告技術商，以人工智慧技術撐起 DataTech、MediaTech、AdTech 三大科技力，打造出包含數據及智能影音廣告產品。機器學習工程師所屬的數據團隊主要負責產品與服務所需的數據處理與分析、人工智慧賦能，另外供應不同廣告平台加值數據。以提高廣告的精準度，滿足不同客戶的需求，以客戶成功為目的。
機器學習工程師會與PM、開發團隊密切合作，依產品或業務需求導入或開發適合的模型，最後部署到產品或服務。不限於使用傳統或最先進(SOTA)模型，也要能夠提供數據洞見給PM。同時維持良好的工程品質，落實MLOps精神。

【基本要求】
- 機器學習、資料科學、資訊或數理相關領域碩士以上學歷。
- 2年以上機器學習或深度學習開發經驗，主題包含但不限於推薦系統(recommendation system)、時序資料(temporal/sequence data)分析、自然語言處理(natural language processing)、迴歸分析(regression analysis)、影像辨識(image detection)。
- 具備獨立建模與部署能力。
- 熟悉統計、機器學習、深度學習理論與相關框架/套件，例如：TensorFlow, PyTorch, Keras, scikit-learn。
- 熟悉 Linux/Unix 環境與具有 Docker / Kubernetes 使用經驗 。
- 具備以下最少一種程式語言開發經驗：Python, C/C++, Java
- 具備git相關版控協作經驗。
- 擁有良好的英文學術論文與技術文件閱讀能力 。
- 積極與開放的心態，樂於追求成長。
- 樂於團隊合作且具備良好溝通協調能力 。"
【AI雲端：FW工程師】雲端基礎設施系統與平台事業群-System Integration Firmware Engineer(新莊/中和-ENT),光寶科技股份有限公司,1~4人,韌體工程師,待遇面議,不拘,碩士,新北市新莊區,不拘,"我們是全球知名的AI伺服器電源領域的專家，在雲端運算電源憑藉著先進的電源管理實力，並以Green Data Centers為成長引擎，立基全球。
現在，我們正在尋找一位韌體設計工程師，加入我們的精英團隊。你將會從事下列工作：

【工作職責】
1. 伺服器、網路通訊、資料中心等相關能源管理產品之軟韌體開發與設計 
2. 跨平台軟體堆疊及模組化設計 
3. 智慧型電源管理暨通訊介面開發 
4. CI/CD及自動化驗證軟體開發 
5. 提升軟體開發品質之研究與發展 

【職務要求】
1. 對程式設計/微處理器應用有熱情者
2. 重視軟體工程研究與發展 

【我們提供】
•充足的升遷、學習及成長機會，和光寶一同成長。
•具有競爭力的薪酬、獎金及福利待遇。
•充滿活力的工作環境、開放的企業文化和豐富的員工活動。

加入我們，你將與頂尖技術人才合作，扎實提升自己的技能，為業務做出實際貢獻並展開充滿激情的事業之旅。如果你對此職缺感興趣並符合以上要求，請立即投遞簡歷，我們期待你的加入！"
軟體工程師,先宏資訊股份有限公司,1~2人,"軟體工程師
、Internet程式設計師","月薪35,000~50,000元",軟體工程系統開發、軟體程式設計、網路程式設計、資料庫程式設計,專科,台北市大安區,不拘,"使用Notes Domino 開發client-server / Web Base Application
使用vue.js 開發前後端程式
使用Python 開發AI大語言模型整合應用



請先看過官網了解公司服務項目。
Https://www.xred.com.tw"
雲端開發工程師,天新資訊股份有限公司,3~4人,"軟體工程師
、系統分析師
、Internet程式設計師",待遇面議,不拘,專科,台北市松山區,不拘,"加入台灣頂尖的 Salesforce 顧問團隊，開創雲端職涯新視野！
我們正在尋找熱愛雲端科技、對跨產業數位轉型充滿熱忱的開發人才，無論你是剛起步的新星，還是擁有豐富經驗的高手，都歡迎加入天新資訊，一起打造企業 CRM 解決方案的未來。
天新資訊是全球第一大雲端 CRM 品牌 Salesforce 在台灣唯一獲得「Summit Level（高峰級）」最高等級認證的顧問夥伴。迄今，我們已成功協助超過 450 家企業導入 Salesforce CRM，橫跨高科技、製造、零售、生技、專業服務與金融等產業，並具備豐富的跨國與多區域專案經驗。

【部門需求】
我們的技術團隊期待加入：
對雲端平台開發充滿熱情
具備開朗主動、積極學習的態度
喜歡與人合作、擅長團隊溝通
有志於深入各產業領域，協助企業數位轉型

你將與專案經理、系統分析師等組成專業團隊，協助企業設計 CRM 藍圖，並實作多個全球前沿科技專案。我們重視你的技術能力，也看重你的成長潛力與學習意願。

【工作內容】
撰寫技術需求與設計文件
Produce technical requirements and design documents

程式設計與開發實作
Design and implement development and release processes

規劃與執行測試計畫，確保專案品質
Design and manage test plans to ensure high-quality delivery

【我們提供的工作環境】
全方位學習資源與職涯規劃

完整線上學習平台，快速掌握雲端開發知識

定期專案與產業分享會，提升專業深度與廣度

多元補助福利

Salesforce 國際認證補助

電腦、電話費補助

獎酬制度明確

每季依績效發放專案獎金

每年依表現進行升遷與調薪

自主學習與彈性環境

鼓勵主動學習與技術交流，成長看得見

【你是否擁有這些特質？】
積極主動，具備自我驅動學習的熱情

擅長溝通協作，樂於分享與成長

對 CRM 技術與雲端平台有高度興趣

具備邏輯分析與流程建構能力

有團隊合作精神與責任感

一起加入雲端未來，實現數位創新！
立即投遞履歷，和我們一起成為企業數位轉型的推手！"
新鮮人徵才計畫-資訊類,台灣大哥大股份有限公司,不限,"軟體工程師
、Internet程式設計師","月薪36,000~43,000元",不拘,不拘,台北市大安區,不拘,"台灣大哥大針對【新鮮人】擴大招募，邀請您加入台灣大哥大，我們尋找對於程式開發/資料庫管理/雲端平台服務有興趣的你/妳：
讓生活帶來便利與改變，為人們打開全新的思維與視野。
提供客戶優質的使用體驗，一起創造更多的能所不能。

若欲應徵特定職缺請於應徵時說明，或直接於工作機會列表就該職缺進行投遞；若無指定則由HR協助派送

【工作內容】

一、【Java全端軟體工程師】

1. 參與台灣大跨單位、外部客戶相關之系統需求開發設計、架構規劃
2. 參與並執行專案，主動積極從各種角度思考，提出各種可行的建議方案
3. 無限可能的多元領域：科技新創服務/加值服務/通路營運/虛擬通路/客戶服務/企業創新服務：
- MyCharge CPO平台
- 訊息系統與優惠券系統
- 物聯網企業客戶平台
- 通路門市相關系統
- 客服中心相關系統
- 電商代運營平台
- 企業創新整合開發

二、【.Net工程師】

1. 參與台灣大跨單位、外部客戶相關之系統發展的需求開發、規劃與專案管理
2. 根據內外部業務需求，提供需求相關的技術規劃做法、與分析洞察
3. 參與並執行專案，主動積極從各種角度思考，提出各種可行的建議方案
4. 無限可能的多元領域 : 科技新創服務/加值服務/通路營運/虛擬通路/企業創新服務

三、【資料分析/數據工程師】

參與資料倉儲需求開發、資料分析/應用、大數據應用之專案開發與系統維運：

A. 資料工程：
■ 負責資料擷取及處理之ETL開發及維運
■ 負責通路報表系統優化
■ 通路業績日月報相關需求開發與維運
■ 雲端通路即時戰報相關需求開發與維運

B. ML/DL建模：
■ 負責模型特徵及機器學習模型之ETL開發及維運
■ 訓練與優化機器學習或深度學習模型，提高準確度與效率
■ 監控模型表現，並進行更新與迭代
■ 進行資料預處理與特徵工程，並設計、開發與部署機器學習模型，解決業務問題

四、【LLM應用平台架構師】

1. AI大腦平台設計與建置：
■ 負責設計和建置前後端分離的Web系統，前端使用React.js框架，後端使用Python，為智能客服或知識管理等系統提供AI應答能力
2. LLM整合：
■ AI大腦平台整合LLM以提供高品質的AI應答內容。特別是使用RAG技術，結合檢索和生成能力，以提高回應的準確性和相關性
3. Agent Flow設計：
■ 設計和優化Agent Flow，以確保AI系統能夠順暢地處理用戶請求，提供流暢的互動體驗
4. Agentic AI應用：
■ 應用Agentic AI技術，使AI系統能夠主動地與用戶互動，提供更智能化的服務
5. 系統性能優化：
■ 監控和優化AI大腦平台的性能，確保系統穩定運行並能適應業務需求的變化
6. 跨部門協作：
■ 與業務團隊、RD團隊工程師合作，確保AI解決方案符合業務需求
7. 技術指導與培訓：
■ 提供技術指導和培訓，幫助RD團隊成員了解和使用AI技術

五、【Python Web工程師】

1. Python Web Application開發(Flask + jQuery單體架構或FastAPI + ReactJS前後端分離) 
2. 網路爬蟲程式開發
3. 無限可能的多元領域 : 科技新創服務/加值服務/通路營運/虛擬通路/企業創新服務

六、【雲端工程師】

1. 負責IT內部公/私有雲規劃設計
2. 雲端資訊安全分析
3. 公有雲成本治理
4. SaaS服務使用研究
5. 負責重大專案SRE

七、【Oracle資料庫工程師】

1. 資料庫環境之架構規劃、安裝建置、安全防護、維運管理及效能調校
2. AWS/GCP/Azure 等公有雲資料庫環境之架構規劃、安裝建置、安全防護、維運管理及效能調校
3. 協助開發單位提供專案規劃及技術支援

八、【系統工程師】

1. X86主機管理
2. 儲存設備管理
3. Linux/Windows系統管理
4. 備份管理
5. 效能調校
6. 盤點作業與弱掃

【薪資待遇】月薪36,000~43,000元，依績效另有豐厚年終獎金與員工紅利。"
